country,region,life_expectancy,wellbeing,happy_years,footprint,inequality_outcomes,adj_life_expectancy,adj_wellbeing,hpi_index,GDP,population
Nepal,Asia Pacific,68.82,4.20,20.19,0.98,0.27,55.31,3.81,30.51,685.50,27500515
Netherlands,Europe,81.21,7.50,57.04,5.28,0.04,78.18,7.45,35.32,49474.71,16754962
New Zealand,Asia Pacific,81.42,7.20,52.66,5.60,0.08,77.69,6.94,31.26,39504.96,4408100
Nicaragua,Americas,74.32,5.40,29.21,1.39,0.25,63.44,4.76,38.69,1779.87,5877034
Niger,Sub Saharan Africa,60.05,3.80,13.13,1.56,0.40,38.88,3.54,16.85,393.64,17635782
Nigeria,Sub Saharan Africa,52.11,5.50,15.50,1.16,0.44,30.85,5.18,22.25,2739.85,168240403
Norway,Europe,81.28,7.70,57.05,4.98,0.07,78.60,7.42,36.83,101563.70,5018573
Oman,Middle East and North Africa,76.30,6.90,44.47,7.52,0.13,70.94,6.43,21.14,21533.81,3545192
Pakistan,Asia Pacific,65.70,5.10,19.53,0.79,0.40,44.13,4.58,31.50,1266.38,177392252
Palestine,Middle East and North Africa,72.55,4.60,24.46,1.19,0.24,62.59,4.07,34.47,2782.91,4046901
Panama,Americas,77.22,6.90,42.08,2.79,0.19,68.33,6.32,39.50,10138.52,3743761
Paraguay,Americas,72.64,5.80,31.76,4.16,0.22,59.36,5.51,23.33,3858.04,6379162
Peru,Americas,74.09,5.80,32.86,2.28,0.21,63.54,5.33,34.56,6388.85,30158768
Philippines,Asia Pacific,67.95,5.00,24.14,1.10,0.26,56.92,4.40,34.99,2604.66,96017322
Poland,Post-communist,76.93,5.90,39.17,4.44,0.11,72.94,5.53,27.47,13142.05,38063164
Portugal,Europe,80.33,4.99,32.32,3.88,0.16,77.19,4.34,24.85,20577.40,10514844
Republic of Congo,Sub Saharan Africa,60.95,3.90,13.58,1.29,0.40,41.99,3.39,18.81,3191.16,4286188
Romania,Post-communist,74.33,5.20,30.06,2.71,0.19,68.09,4.57,28.80,8577.29,20058035
Russia,Post-communist,69.52,5.60,31.73,5.69,0.16,63.37,5.17,18.71,14078.83,143201676
Rwanda,Sub Saharan Africa,63.06,3.30,12.37,0.87,0.37,44.28,2.95,19.63,667.41,10817350
Senegal,Sub Saharan Africa,65.43,3.70,15.49,1.21,0.33,49.06,3.32,21.90,1019.27,13780108
Serbia,Post-communist,74.50,5.20,30.26,2.70,0.19,68.60,4.57,29.05,5659.38,7199077
Sierra Leone,Sub Saharan Africa,49.76,4.50,10.78,1.24,0.50,28.18,3.98,15.26,618.95,6043157
Slovakia,Post-communist,75.87,5.90,37.89,4.06,0.13,71.87,5.43,28.23,17207.28,5407579
Slovenia,Post-communist,79.95,6.10,42.57,5.81,0.10,77.07,5.68,24.64,22477.60,2057159
South Africa,Sub Saharan Africa,56.29,5.10,18.49,3.31,0.33,41.79,4.58,15.87,7592.16,52341695
South Korea,Asia Pacific,81.35,6.00,42.17,5.69,0.11,78.34,5.54,24.79,24453.97,50004441
Spain,Europe,82.19,6.30,45.27,3.67,0.10,79.34,5.86,35.96,28647.84,46773055
